ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,BOROUGH,X,Y,WEBSITE
Association to Benefit Children,Supportive Housing,318 E 116th Street,"New York, NY 10029",212-426-3960 ,3,,,,,,,1,,,,,,,,,,,,,,1,1,,,Serves families living with HIV/AIDS,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,1001705,229413,http://www.a-b-c.org/
Association to Benefit Children,Youth Services,1841 Park Avenue ,"New York, NY 10035",646-459-6175,,,,,,,,,,,,,,,,,,,,,,,1,,,Serves victims 5-21 years of age living in poverty and emotional distress,Monday - Friday: 2:30 pm - 6pm (school year),,1,,,,,,,,,,,,,1,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Atlas DIY Corporation,Brooklyn Office,"462 36th Street, Suite PH-B ","Brooklyn, NY 11232",347-599-1641,,,1,1,1,1,,,,,,,,1,,,1,1,1,1,,,1,,,Serves immigrant youth 14-24 years of age,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,1,,,Brooklyn,983454,177218,http://www.atlasdiy.org/
Barrier Free Living,,637 E 138th Street ,"Bronx, NY 10454",929-281-2261,,1,,,1,,,1,,1,,,1,,,,1,1,,,,1,1,1,1,"Serves residents of supportive housing, call to confirm eligibility",Monday - Friday: 9 am - 7 pm,Saturday: 10 am - 5 pm,1,,,,,,,,,,,,,1,,Communities of people with physical or mental disabilities ,Bronx,1007801,232954,https://www.bflnyc.org
Bronx District Attorney's Office Crime Victims Assistance Unit  ,,198 E 161st Street,"Bronx, NY 10451",718-590-2115,,1,1,,1,1,1,1,,1,,1,1,,,"New York State Office of Victim Services Claim Application Assistance and advocacy, criminal justice advocacy and accompaniment, and crisis response in community",1,1,1,1,1,,1,1,1,Call to confirm eligibility ,Monday - Friday: 8:30 am - 11 pm,,1,,,,1,,,,,,,,Interpreters used for all languages but must be ordered in advance,1,,Homicide Survivors,Bronx,1006064,240261,http://www.bronxda.nyc.gov
Bronx District Attorney's Office Crime Victims Assistance Unit  ,,4101 White Plains Road,"Bronx, NY 10451",718-798-5892 ,,1,1,,1,1,1,1,,1,,1,1,,,"New York State Office of Victim Services Claim Application Assistance and advocacy, criminal justice advocacy and accompaniment, and crisis response in community",1,1,1,1,1,,1,1,1,Call to confirm eligibility ,Monday - Friday: 8:30 am - 11 pm,,1,,,,1,,,,,,,,Interpreters used for all languages but must be ordered in advance,1,,Homicide Survivors,Bronx,1023189,263893,http://www.bronxda.nyc.gov
"BronxWorks, Inc.",Heights Neighborhood Senior Center,200 W Tremont Avenue,"Bronx, NY 10453",718-299-0300,,1,1,,1,,,,,1,,1,1,,,New York State Office of Victim Services Claim Application Assistance,1,1,,,1,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 8:30 am - 4:30 pm ,,1,,,,,,,,,,,,,1,,,Bronx,1007173,249628,http://www.bronxworks.org/
Brooklyn District Attorney's Office Victim Services Unit,,350 Jay Street,"Brooklyn, NY 11201",718-250-3820,,1,1,1,1,,,,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,1,1,1,1,,1,1,,,,1,,,Brooklyn,987433,192187,http://www.brooklynda.org
Brooklyn Legal Services Corporation A,Shriver Tyler MacCrate Center for Justice,"260 Broadway, Suite 2","Brooklyn, NY 11211",718-487-2300,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,This Organization has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,Brooklyn,995461,197483,http://bka.org/
Brooklyn Legal Services Corporation A,Bed-Stuy Office,619 Throop Avenue  ,"Brooklyn, NY 11216",718-487-2300,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,This Organization has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,Brooklyn,1000798,187394,http://bka.org/
"CAMBA, Inc.",Victims Assistance Program,885 Flatbush Avenue ,"Brooklyn, NY 11226",718-282-5575,,1,1,,1,,,,,1,,,,,,"New York State Office of Victim Services Claim Application Assistance,<br>
24-Hour Sexual Assault Crisis Counseling Hotline Open Daily<br>(1-800-310-2449)
",1,,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,Immigrant communities,Brooklyn,995822,176178,https://www.camba.org/
"CAMBA, Inc.",CAMBA Legal,931 Flatbush Avenue,"Brooklyn, NY 11226",718-940-6311,,,,1,,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,"Low-income New Yorker residents, call to confirm eligibility ",Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,,1,1,,,,,,,,,,,Brooklyn,996013,175737,https://www.camba.org/
Cardinal McCloskey Community Services,,529 Courtlandt Avenue ,"Bronx, NY 10451",718-993-7700,,1,1,,,,,,1,1,,,,,,,1,1,1,1,,1,1,1,1,Serves victims who are part of Cardinal McCloskey Community Services foster care or prevention programs,Monday - Friday: 9 am - 7 pm,,1,,,,,,,,,,,,,1,,,Bronx,1006385,236620,http://www.cmcs.org/
Carter Burden Network,CEMAPP - Covello Senior Center,312 E. 109th St.,"New York, NY 10029",917-409-1261,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,,,,1,Clients must reside in Manhattan to access services. Call the agency to make an appointment,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,1000750,227847,http://www.carterburdennetwork.org/
"Catholic Charities Neighborhood Services, Inc.",Flatbush Addiction Treatment Center ,1463 Flatbush Avenue,"Brooklyn, NY 11210",718-951-9009,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 6 pm,Saturday: 9 am - 1 pm,,,,,,,,,,,,,,,,,Brooklyn,998276,170602,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Corona Behavioral Health Center ,91-14 37th Avenue ,"Jackson Heights, NY 11372",718-779-1600,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday-Sunday: 9 pm - 5 pm,1,,,,,,,,,,,,,1,,Immigrant communities,Queens,1018810,212735,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Glendale Mental Health Clinic,67-29 Myrtle Avenue,"Glendale, NY 11385",718-456-7001,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,,,,,,,,Queens,1016018,194985,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Bohan-Denton Flatlands Guidance Center,"2037 Utica Avenue, Second Floor","Brooklyn, NY 11234",718-377-5755,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,1,,,,1,,,Brooklyn,1004554,165948,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Rockaway Mental Health Clinic,1847 Mott Avenue ,"Far Rockaway, NY 11691",718-337-6800,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,1,,,,,1,,,,1,,,,1,,,Queens,1053240,159168,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Jamaica Behavioral Health Center,"161-10 Jamaica Avenue, 2nd Floor","Jamaica, NY 11432",718-804-1682,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday-Sunday: 9 pm - 5 pm,1,,,,,,,,,1,,,,1,,,Queens,1040292,195722,https://www.ccbq.org/
Center Against Domestic Violence,Administrative Office,"25 Chapel Street, Suite #904 ","Brooklyn, NY 11201",718-254-9134,,1,1,,1,,1,,,,,1,,,,"Domestic Violence Support Groups,<br>
Shelter services can be accessed through the CADV hotline: 718-439-1000",1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,Latino and Latina communities,Brooklyn,988110,193374,http://www.cadvny.org/
Center for Court Innovation,Red Hook Community Justice Center - CARES (Counseling & Restorative Services),88 Visitation Place,"Brooklyn, NY 11231",646-573-4665,,1,1,,1,,,,,1,,1,1,,1,,1,1,1,1,1,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,,1,,,Brooklyn,981638,186752,https://www.courtinnovation.org/programs/red-hook-community-justice-center
Center for Family Representation,Manhattan Headquarters,"40 Worth Street, Suite 605 ","New York, NY 10013",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,Call to confirm eligibility ,Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,1,,,1,,,1,Queens and Manhattan Family Courts,,Manhattan,982312,200527,http://www.cfrny.org/
Center for Family Representation,Queens Community Office,"89-14 Parsons Boulevard , 2nd Floor","Jamaica, NY 11432",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,Call to confirm eligibility ,Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,,,,1,,,1,Queens and Manhattan Family Courts,,Queens,1039090,196294,http://www.cfrny.org/
Children's Aid-Family Wellness Program,Midtown Manhattan,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9am-5pm; please call to inquire about availability after 5pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,Immigrant communities,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,Central Harlem,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9am-5pm; please call to inquire about availability after 5pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,Immigrant communities,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,Washington Heights,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9am-5pm; please call to inquire about availability after 5pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,Immigrant communities,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,South Bronx,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9am-5pm; please call to inquire about availability after 5pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,Immigrant communities,Manhattan,991772,213325,http://www.childrensaidnyc.org/
"Community Agency for Senior Citizens, Inc.","Staten Island, NY",56 Bay Street ,,718-981-6226,,1,1,,1,,,,,,,1,1,,,"Crime Victims Assistance, Crime Prevention Programs, Transportation Services, Senior Center Services, Information & Referral Services. Home Visits are available as part of Elder Abuse Cases, Crime Victims Assistance, Crime Prevention Programs and Case Management ",1,1,,1,1,,,,1,Serves anyone who is 60 years of age or older,9am-5pm,,1,,,,,,,,1,,,,,1,,Our organization specializes in working with all seniors who are 60 years of age or older,Staten Island,963148,172707,https://cascsiny.org/
Crime Victims Support Services of the North Bronx Inc.,,1138 Neill Avenue,Bronx New York 10461,718-823-4925,,1,1,,,,1,,,1,,1,,,,,,,1,1,,1,1,1,1,,Monday - Friday: 9 am - 4:30 pm,,1,,,,,,,,,,,,,1,,Our organization specializes in serving victims from the Bronx and lower Westchester County,Bronx,1024521,250412,https://www.guidestar.org/profile/32-0138249
Crime Victims Treatment Center,,"40 Exchange Place, Suite 510","New York, NY 10005",212-523-4728,,,1,1,1,1,,,,1,,1,,,,Trauma-focused therapy,1,1,1,1,1,,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,"Hebrew, Gujarati 
",1,,"LGBTQ, formerly incarcerated populations and immigrant communities ",Manhattan,981398,196377,http://www.cvtcnyc.org/
Crime Victims Treatment Center,Upper West Side ,"1090 Amsterdam Avenue, Suite 8F","New York, NY 10025",212-523-4728,,,0,,1,,,,,1,,1,,,,Trauma-focused therapy,1,1,1,1,1,,1,1,1,,Call to inquire about hours of operation,,,,,,,,,,,,,,,1,,"LGBTQ, formerly incarcerated populations and immigrant communities ",Manhattan,994639,232521,cvtcnyc.org
Edith and Carl Marks Jewish Community House of Bensonhurst,,7802 Bay Parkway,"Brooklyn, NY 11214",718-943-6349,,1,1,,1,,,,,,,1,1,1,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,1,,,,1,,Domestic violence victims from the former Soviet Union,Brooklyn,987100,160188,http://www.jchb.org/
"Food First Family Project, Inc.",,165 Conover Street,"Brooklyn, NY 11231",718-624-1950,,1,1,,1,,1,,,,,,,,,Child Care Services,1,1,,,,1,1,1,,,"Open 24 hours 7 days a week
",,1,,,,,,,,,,1,,,1,,,Brooklyn,980496,186368,http://www.foodfirstinc.com/
"Forestdale, Inc.",,67-35 112th Street,"Forest Hills, NY 11375",718-263-0740,,1,1,,,,,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,1,1,1,,,,,,,"Hindi, Nepali, Pashto",,,,Queens,1028122,205015,http://www.forestdaleinc.org/
"Forestdale, Inc.",,203-09 Hollis Avenue,"Hollis, NY 11412",718-263-0740,,1,1,,,,,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,1,1,1,,,,,,,,,,,Queens,1052362,196934,http://www.forestdaleinc.org/
Garden of Hope,Queens Family Justice Center,126-02 82nd Avenue ,"Kew Gardens, NY 11415",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,,1,1,1,,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,1,,Asian communities,Queens,1032459,199212,http://www.gohny.org/
Good Shepherd Services,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5035,,1,1,1,1,1,1,1, ,1, ,1,, ,,,1, ,, ,,1,1,1,1,Serves intimate partner violence survivors ,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,"Children, youth and families",Brooklyn,987687,192183,https://goodshepherds.org
Good Shepherd Services,Safe Homes Project,"503 5th Avenue, 4th Floor","Brooklyn, NY 11215",718-965-3313,,1,1,1,1,1,1,1,,1,,1,1,,,"Emergency Shelter, Counseling Services, Support Groups, Childcare Services",1,,,,,1,1,1,1,Serves intimate partner violence survivors ,Monday - Friday: 9 am - 5 pm,Emergency shelter open 24-7,1,,,,,,,,,,,,,1,,LGBTQ survivors; Spanish-speaking survivors,Brooklyn,987630,182251,https://goodshepherds.org/
Garden of Hope,Brooklyn Family Justice Center,"350 Jay Street, 16th Floor","Brooklyn, NY 11201",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,,1,1,1,,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,1,,Asian communities,Brooklyn,987687,192183,http://www.gohny.org/
Graham Windham,Manhattan Mental Health Clinic,274 W 145th Street,"New York, NY 10039",212-368-4100 ,7123,,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,,,"Serves victims 4-25 years of age, call to confirm eligibility","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 8 pm</li>
  <li>Friday: 9 am - 5 pm</li>
</ul>",Saturday-Sunday: 10 am - 4 pm,1,,,,,,,,,,,,,1,,,Manhattan,1000375,238958,www.graham-windham.org
Graham Windham,Brief Strategic Family Therapy Preventive Services,274 W 145th Street,"New York, NY 10039",212-368-4100 ,7130,1,1,,1,,,,,1,,1,1,,,,1,1,1,1,,,1,,,Serves victims 10-18 years of age who are enrolled in a Graham Windham preventive program,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,,Manhattan,1000375,238958,www.graham-windham.org
Graham Windham,Family Treatment and Rehabilitation,540 Atlantic Avenue,"Brooklyn, NY 11217",718-294-1715 ,4150,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,1,1,1,,Call to confirm eligibility,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,1,1,,,,,,,,1,,,Brooklyn,989729,188736,www.graham-windham.org
Graham Windham,General Preventive,1946 Webster Avenue,"Bronx, NY 10457",718-875-1167 ,3356,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,1,1,,,Serves victims with children under 18 years of age at risk of foster care placement,Monday - Friday: 9 am - 8 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,,Bronx,1011950,248576,www.graham-windham.org
"HANAC, Inc.",Victim Assistance Program,27-40 Hoyt Avenue South,"Astoria, NY 11102",718-728-3811,,1,,1,,1,,,,,1,1,,1,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,Greek,1,,,Queens,1006572,220176,http://hanac.org/
HeartShare St. Vincent's Services,Outpatient Mental Health Clinic ,"66 Boerum Place, 1st Floor","Brooklyn, NY 11201",718-522-6011 ,,,1,,1,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday-Sunday: 10 am - 3 pm,1,,,,,,,,,1,,,,1,,,Brooklyn,986790,190566,https://hsvsnyc.org/
